Category,City,Container,Customer ID,Customer Name,Customer Segment,Department,Item ID,Item,Order Date,Order ID,Order Priority,Postal Code,Region,Row ID,Ship Date,Ship Mode,State,Discount,Order Quantity,Product Base Margin,Profit,Sales,Shipping Cost,Unit Price
Labels,Winter Park,Small Box,2539,Max Hubbard,Home Office,Office Supplies,11153,Avery 485,10/21/2014,91017,Not Specified,32789,South,7/12/1962,10/21/2014,Regular Air,Florida,0.08,5,0.38,216,61,1,13
Storage & Organization,Winter Springs,Small Box,2540,Helen Ferguson,Home Office,Office Supplies,10724,"Hot File® 7-Pocket, Floor Stand",10/20/2015,91017,Not Specified,32708,South,7/13/1962,10/20/2015,Regular Air,Florida,0.02,1,0.55,107,194,20,178
Telephones and Communication,Boston,Small Box,1413,Pamela Wiley,Corporate,Technology,10150,g520,9/2/2015,10277,Medium,2113,East,11/17/1903,9/2/2015,Regular Air,Massachusetts,0,36,0.59,542,2145,5,66
Telephones and Communication,Moreno Valley,Small Box,1410,Charles Ward,Corporate,Technology,10150,g520,12/28/2015,87086,Medium,92553,West,2/27/1953,12/28/2015,Regular Air,California,0,9,0.59,370,536,5,66
Computer Peripherals,New York City,Small Box,696,Johnny Reid,Corporate,Technology,10229,Keytronic Designer 104- Key Black Keyboard,2/18/2016,89848,Low,10024,East,8/19/1952,2/18/2016,Regular Air,New York,0.1,9,0.77,-580,356,20,40
Computer Peripherals,Irving,Small Box,698,Nelson Hensley,Corporate,Technology,10229,Keytronic Designer 104- Key Black Keyboard,2/5/2016,8994,Low,75061,Central,5/9/1903,2/5/2016,Regular Air,Texas,0.1,36,0.77,-580,1423,20,40
Envelopes,Charlotte,Small Box,272,Eleanor Swain,Home Office,Office Supplies,11235,Staples Brown Kraft Recycled Clasp Envelopes,7/24/2016,5509,Low,28204,South,2/8/1902,7/29/2016,Regular Air,North Carolina,0.02,11,0.35,-30,68,5,6
Envelopes,Flagstaff,Small Box,268,James Beck,Home Office,Office Supplies,11235,Staples Brown Kraft Recycled Clasp Envelopes,7/28/2016,88941,Low,86001,West,5/22/1951,7/28/2016,Regular Air,Arizona,0.02,3,0.35,-22,19,5,6
Office Furnishings,Charlotte,Small Box,272,Eleanor Swain,Home Office,Furniture,10571,Eldon Executive Woodline II Cherry Finish Desk Accessories,7/27/2014,5509,Low,28204,South,2/9/1902,8/1/2014,Regular Air,North Carolina,0.03,21,0.57,53,885,19,41
Office Furnishings,Flagstaff,Small Box,268,James Beck,Home Office,Furniture,10571,Eldon Executive Woodline II Cherry Finish Desk Accessories,7/31/2014,88941,Low,86001,West,5/23/1951,7/31/2014,Regular Air,Arizona,0.03,5,0.57,79,211,19,41
Bookcases,Coachella,Jumbo Box,1793,Derek Jernigan,Home Office,Furniture,11234,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",1/7/2013,87853,Critical,92236,West,4/9/1958,1/6/2014,Delivery Truck,California,0.04,8,0.62,-13706,6969,45,881
Pens & Art Supplies,Petersburg,Wrap Bag,2418,Kyle Fink,Consumer,Office Supplies,10777,"Sanford EarthWrite® Recycled Pencils, Medium Soft, #2",7/5/2015,86750,Critical,23805,South,8/24/1955,7/6/2015,Regular Air,Virginia,0.03,4,0.57,-1474,9,1,2
Telephones and Communication,Hilton Head Island,Small Box,799,Lee McKenna Gregory,Consumer,Technology,11124,Accessory35,12/11/2014,89909,Not Specified,29915,South,10/6/1954,12/11/2014,Regular Air,South Carolina,0.03,1,0.55,-211,31,1,36
Computer Peripherals,Herndon,Small Pack,3285,Ricky Garner,Consumer,Technology,11188,BASF Silver 74 Minute CD-R,11/9/2016,90750,Not Specified,20170,South,9/18/1955,11/9/2016,Regular Air,Virginia,0.06,7,0.51,80,12,2,2
Chairs & Chairmats,Hilton Head Island,Jumbo Drum,799,Lee McKenna Gregory,Consumer,Furniture,10413,Novimex Swivel Fabric Task Chair,12/10/2015,89909,Not Specified,29915,South,10/4/1954,12/10/2015,Delivery Truck,South Carolina,0.01,6,0.74,131,958,30,151
Office Furnishings,Corvallis,Small Pack,3347,Carrie McIntosh,Consumer,Furniture,10414,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,7/13/2015,89355,Medium,97330,West,11/16/1951,7/13/2015,Express Air,Oregon,0.05,5,0.37,-93,34,5,7
Binders and Binder Accessories,Corvallis,Small Box,3347,Carrie McIntosh,Consumer,Office Supplies,11038,GBC VeloBinder Strips,7/14/2014,89355,Medium,97330,West,11/15/1951,7/14/2014,Express Air,Oregon,0.07,1,0.35,126,22,6,8
Storage & Organization,Hilton Head Island,Medium Box,799,Lee McKenna Gregory,Consumer,Office Supplies,10256,Eldon Portable Mobile Manager,12/8/2016,89909,Not Specified,29915,South,10/5/1954,12/8/2016,Express Air,South Carolina,0.01,12,0.58,-89,369,14,28
Paper,Herndon,Small Box,3285,Ricky Garner,Consumer,Office Supplies,11261,Xerox 19,11/12/2014,90750,Not Specified,20170,South,9/19/1955,11/12/2014,Regular Air,Virginia,0.01,9,0.4,896,288,5,31
Pens & Art Supplies,San Clemente,Wrap Bag,1782,Lawrence Dennis,Home Office,Office Supplies,11142,Newell 342,8/30/2014,89856,High,92672,West,4/8/1958,9/1/2014,Regular Air,California,0.03,7,0.56,-91,25,4,3
Storage & Organization,Fairfax,Large Box,2146,Courtney Boyd,Corporate,Office Supplies,10704,Tennsco Commercial Shelving,1/29/2016,87071,Low,20151,South,2/22/1965,1/29/2016,Regular Air,Virginia,0.05,2,0.84,53,53,35,20
Binders and Binder Accessories,Las Vegas,Small Box,651,Leah Clapp,Consumer,Office Supplies,11094,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",10/30/2014,91575,High,89115,West,4/2/1966,10/30/2014,Regular Air,Nevada,0.08,12,0.37,-247,192,13,16
Binders and Binder Accessories,Boston,Small Box,1606,Bob Ross,Home Office,Office Supplies,10404,Avery Reinforcements for Hole-Punch Pages,8/19/2016,87993,Medium,2129,East,7/6/1950,8/19/2016,Regular Air,Massachusetts,0.05,1,0.4,-14,4,5,2
Copiers and Fax,Boston,Large Box,1606,Bob Ross,Home Office,Technology,10566,Canon PC1060 Personal Laser Copier,8/22/2014,87993,Medium,2129,East,7/7/1950,8/22/2014,Express Air,Massachusetts,0.07,1,0.41,-2870,707,24,700
Office Machines,Boston,Large Box,1606,Bob Ross,Home Office,Technology,10538,Polycom ViewStation™ ISDN Videoconferencing Unit,8/21/2015,87993,Medium,2129,East,7/8/1950,8/21/2015,Regular Air,Massachusetts,0.07,2,0.39,78,13121,24,6783
Telephones and Communication,Norman,Small Box,2630,Betsy Puckett,Small Business,Technology,10203,i1000,9/16/2015,85915,High,73071,Central,9/16/1961,9/18/2015,Regular Air,Oklahoma,0.07,3,0.58,-139,166,6,66
Computer Peripherals,Lubbock,Small Box,1367,James Hunter,Consumer,Technology,10679,Keytronic French Keyboard,11/29/2014,90513,Medium,79424,Central,3/25/1956,12/1/2014,Regular Air,Texas,0.03,1,0.65,-326,79,15,74
Office Furnishings,Killingly Center,Small Pack,2908,Robyn Lyon,Home Office,Furniture,10593,"Executive Impressions 14"" Two-Color Numerals Wall Clock",2/18/2016,88156,High,6241,East,12/15/1950,2/18/2016,Regular Air,Connecticut,0.03,1,0.44,17,25,9,23
Labels,Killingly Center,Small Box,2908,Robyn Lyon,Home Office,Office Supplies,11115,Avery 491,2/18/2016,88156,High,6241,East,12/14/1950,2/18/2016,Regular Air,Connecticut,0.07,4,0.39,11,16,1,4
Appliances,Myrtle Beach,Small Box,2099,Nathan Fox,Home Office,Office Supplies,10978,Acco 6 Outlet Guardian Premium Surge Suppressor,1/18/2016,87888,Not Specified,29577,South,11/14/1960,1/18/2016,Regular Air,South Carolina,0.07,6,0.58,-46,85,4,15
Binders and Binder Accessories,Irving,Small Box,2868,Eugene Clayton,Corporate,Office Supplies,10548,GBC DocuBind TL300 Electric Binding System,6/29/2016,85826,High,75061,Central,1/5/1952,6/29/2016,Regular Air,Texas,0.03,6,0.38,3602,5220,20,897
Pens & Art Supplies,Pasadena,Wrap Bag,2164,Harry Sellers,Small Business,Office Supplies,10963,Newell 337,11/25/2014,88794,Not Specified,91104,West,6/19/1961,11/25/2014,Regular Air,California,0.05,11,0.56,-145,36,4,3
Labels,Lawton,Small Box,1749,Sherri P Stephens,Home Office,Office Supplies,11156,"Avery 05222 Permanent Self-Adhesive File Folder Labels for Typewriters, on Rolls, White, 250/Roll",2/11/2016,87243,Not Specified,73505,Central,4/26/1956,2/11/2016,Regular Air,Oklahoma,0.02,2,0.39,-48,10,7,4
Labels,Atlanta,Small Box,1745,Herbert Holden,Home Office,Office Supplies,11156,"Avery 05222 Permanent Self-Adhesive File Folder Labels for Typewriters, on Rolls, White, 250/Roll",11/28/2014,18561,Not Specified,30305,South,1/14/1907,11/28/2014,Regular Air,Georgia,0.02,9,0.39,-52,46,7,4
Binders and Binder Accessories,Pasadena,Small Box,2164,Harry Sellers,Small Business,Office Supplies,10406,"Acco PRESSTEX® Data Binder with Storage Hooks, Dark Blue, 9 1/2"" X 11""",11/22/2016,88794,Not Specified,91104,West,6/18/1961,11/22/2016,Regular Air,California,0.01,3,0.36,-67,19,8,5
Pens & Art Supplies,Gilroy,Small Pack,833,Gerald Love,Corporate,Office Supplies,10706,Boston 16765 Mini Stand Up Battery Pencil Sharpener,7/16/2015,89770,High,95020,West,6/28/1952,7/16/2015,Express Air,California,0,11,0.59,-204,139,9,12
Pens & Art Supplies,Augusta,Wrap Bag,2165,Melanie Knight,Small Business,Office Supplies,11018,Newell 339,11/24/2015,88794,Not Specified,4330,East,6/17/1961,11/24/2015,Regular Air,Maine,0.09,6,0.59,-5,16,1,3
Pens & Art Supplies,Madison,Wrap Bag,2555,Karl Knowles,Home Office,Office Supplies,10915,12 Colored Short Pencils,9/8/2016,86527,Low,53711,Central,10/16/1964,9/8/2016,Regular Air,Wisconsin,0.1,12,0.58,-88,30,2,3
Telephones and Communication,King of Prussia,Small Box,358,Chris F Brandt,Corporate,Technology,11143,M70,10/30/2014,91130,Low,19406,East,6/4/1967,11/20/2014,Regular Air,Pennsylvania,0.04,1,0.59,-628,108,9,126
Bookcases,East Lansing,Jumbo Box,1976,Sherri F Vogel,Consumer,Furniture,10772,"Hon Metal Bookcases, Putty",1/8/2016,89039,Critical,48823,Central,6/12/1970,1/8/2016,Delivery Truck,Michigan,0.05,8,0.56,-851,552,47,71
Pens & Art Supplies,Denton,Wrap Bag,896,Jennifer Siegel,Corporate,Office Supplies,10963,Newell 337,2/16/2016,90166,Critical,76201,Central,11/18/1954,3/10/2016,Regular Air,Texas,0.06,5,0.56,-67,17,4,3
Pens & Art Supplies,Washington,Wrap Bag,894,Gail Rankin Cole,Corporate,Office Supplies,10963,Newell 337,8/13/2016,14596,Critical,20024,East,8/7/1905,8/15/2016,Regular Air,District of Columbia,0.06,19,0.56,-86,63,4,3
Paper,Lehi,Small Box,194,Tammy Goldman,Corporate,Office Supplies,10513,Xerox 1996,7/24/2015,90431,Not Specified,84043,West,6/15/1966,7/24/2015,Regular Air,Utah,0.02,4,0.37,-106,28,9,6
Computer Peripherals,Pittsburgh,Small Pack,2797,Cameron Kendall,Consumer,Technology,10115,"Imation 3.5, DISKETTE 44766 HGHLD3.52HD/FM, 10/Pack",9/29/2014,87552,Medium,15122,East,5/21/1962,9/29/2014,Regular Air,Pennsylvania,0,8,0.79,-159,44,5,5
Office Furnishings,Denton,Wrap Bag,896,Jennifer Siegel,Corporate,Furniture,11128,Document Clip Frames,2/16/2016,90166,Critical,76201,Central,11/17/1954,3/10/2016,Regular Air,Texas,0.01,6,0.43,34,50,1,8
Binders and Binder Accessories,Slidell,Small Box,3248,Earl Donnelly,Small Business,Office Supplies,10491,Wilson Jones Suede Grain Vinyl Binders,8/14/2015,87297,High,70458,South,1/2/1950,8/14/2015,Regular Air,Louisiana,0.07,17,0.36,-341,47,1,3
Computer Peripherals,Hilton Head Island,Small Pack,1997,Harriet Bowman,Consumer,Technology,10434,Maxell DVD-RAM Discs,12/18/2015,90334,Medium,29915,South,8/10/1953,12/18/2015,Regular Air,South Carolina,0.01,7,0.42,740,123,2,16
Paper,Louisville,Wrap Bag,2962,Leonard Strauss,Consumer,Office Supplies,10728,Wirebound Voice Message Log Book,8/8/2016,88611,High,80027,West,10/28/1955,8/8/2016,Express Air,Colorado,0.07,10,0.39,33,48,1,5
Telephones and Communication,Southbury,Small Box,1725,Linda Blake,Corporate,Technology,11124,Accessory35,8/11/2015,87193,High,6488,East,12/12/1949,8/11/2015,Regular Air,Connecticut,0.05,9,0.55,149,262,1,36
Computer Peripherals,Strongsville,Small Box,3077,Lynne Reid,Small Business,Technology,10791,Gyration Ultra Professional Cordless Optical Suite,12/30/2015,88239,Medium,44136,East,3/15/1965,12/30/2015,Regular Air,Ohio,0.07,2,0.48,-808,582,7,301
Computer Peripherals,Philadelphia,Small Box,3079,Andrew Levine,Small Business,Technology,10791,Gyration Ultra Professional Cordless Optical Suite,11/30/2015,41253,Medium,19112,East,12/3/1915,11/30/2015,Regular Air,Pennsylvania,0.07,7,0.48,-808,2038,7,301
Computer Peripherals,Newport News,Small Box,2063,Todd D Norris,Corporate,Technology,10791,Gyration Ultra Professional Cordless Optical Suite,8/13/2014,87147,Low,23602,South,7/10/1970,8/13/2014,Regular Air,Virginia,0.06,1,0.48,-730,291,7,301
Office Furnishings,Los Gatos,Small Box,453,George Terry,Corporate,Furniture,10367,"Seth Thomas 14"" Putty-Colored Wall Clock",7/22/2016,86011,Not Specified,95032,West,2/6/1961,7/22/2016,Regular Air,California,0.03,1,0.54,-41,32,8,29
Envelopes,Independence,Small Box,2187,Joanne Spivey,Corporate,Office Supplies,11010,Brown Kraft Recycled Envelopes,9/5/2015,89440,High,64055,Central,1/15/1952,9/7/2015,Regular Air,Missouri,0.09,5,0.35,-49,87,12,17
Envelopes,New York City,Small Box,2189,Frank Cross,Corporate,Office Supplies,11010,Brown Kraft Recycled Envelopes,9/10/2015,7364,High,10177,East,10/4/1902,9/10/2015,Regular Air,New York,0.09,22,0.35,-49,382,12,17
Paper,North Olmsted,Small Box,2883,Stuart Sharma,Consumer,Office Supplies,10629,Xerox 227,1/25/2016,87632,Critical,44070,East,3/7/1951,1/25/2016,Regular Air,Ohio,0.05,9,0.37,-121,60,9,6
Paper,Charlotte,Small Box,2882,Andrew Gonzalez,Consumer,Office Supplies,10629,Xerox 227,12/13/2016,4839,Critical,28206,South,11/24/1901,12/15/2016,Regular Air,North Carolina,0.05,35,0.37,-160,233,9,6
Computer Peripherals,Asheboro,Small Pack,1650,Dan Lamm,Corporate,Technology,10344,"Sony MFD2HD Formatted Diskettes, 10/Pack",9/1/2015,91042,High,27203,South,10/1/1965,9/1/2015,Regular Air,North Carolina,0.05,15,0.71,15,94,3,6
Labels,Asheboro,Small Box,1650,Dan Lamm,Corporate,Office Supplies,11153,Avery 485,9/1/2015,91042,High,27203,South,10/2/1965,9/1/2015,Regular Air,North Carolina,0.09,7,0.38,15,82,1,13
Telephones and Communication,Asheboro,Small Box,1650,Dan Lamm,Corporate,Technology,10269,i270,9/2/2014,91042,High,27203,South,10/4/1965,9/2/2014,Express Air,North Carolina,0.08,8,0.55,-135,417,9,66
Computer Peripherals,Oakville,Small Pack,2820,Laurence Simon,Home Office,Technology,10344,"Sony MFD2HD Formatted Diskettes, 10/Pack",1/4/2016,87899,Low,63129,Central,9/23/1966,1/4/2016,Regular Air,Missouri,0.08,18,0.71,-83,114,3,6
Tables,Bossier City,Jumbo Box,2464,Joe George,Consumer,Furniture,10846,Hon Rectangular Conference Tables,10/14/2015,88713,High,71111,South,10/19/1970,10/14/2015,Delivery Truck,Louisiana,0.08,16,0.68,-570,2850,32,228
Envelopes,Reston,Small Box,1693,Melinda Thornton,Consumer,Office Supplies,10992,"#10 White Business Envelopes,4 1/8 x 9 1/2",2/20/2016,90190,Low,20190,South,3/18/1958,2/22/2016,Express Air,Virginia,0.01,11,0.38,-274,188,1,16
Storage & Organization,Oxford,Small Box,1609,Jerry Ennis,Consumer,Office Supplies,10779,Filing/Storage Totes and Swivel Casters,9/22/2014,87824,High,1540,East,2/6/1962,9/22/2014,Regular Air,Massachusetts,0.03,2,0.6,-37,24,9,10
Binders and Binder Accessories,Oxford,Small Box,1609,Jerry Ennis,Consumer,Office Supplies,11044,Peel & Stick Add-On Corner Pockets,9/19/2016,87824,High,1540,East,2/5/1962,9/19/2016,Regular Air,Massachusetts,0.03,7,0.37,-91,17,6,2
Office Furnishings,Bossier City,Small Pack,2464,Joe George,Consumer,Furniture,11114,"Eldon Regeneration Recycled Desk Accessories, Smoke",10/15/2014,88713,High,71111,South,10/18/1970,10/15/2014,Express Air,Louisiana,0.09,4,0.53,608,10,4,2
Binders and Binder Accessories,Boston,Small Box,2935,Shirley Riley,Small Business,Office Supplies,10935,Durable Pressboard Binders,11/13/2014,87617,Low,2215,East,6/6/1968,11/13/2014,Regular Air,Massachusetts,0.02,5,0.38,7,20,1,4
Chairs & Chairmats,Corvallis,Medium Box,1267,Rosemary Branch,Corporate,Furniture,10798,SAFCO Folding Chair Trolley,2/1/2016,89515,Not Specified,97330,West,10/25/1959,2/1/2016,Regular Air,Oregon,0.08,3,0,-379,366,13,128
Pens & Art Supplies,Prior Lake,Wrap Bag,14,Gwendolyn F Tyson,Small Business,Office Supplies,10445,Newell 321,12/6/2016,86838,Medium,55372,Central,1/9/1968,12/7/2016,Regular Air,Minnesota,0.08,7,0.56,-24,22,2,3
Pens & Art Supplies,Prior Lake,Wrap Bag,14,Gwendolyn F Tyson,Small Business,Office Supplies,10446,Newell 351,12/9/2014,86838,Medium,55372,Central,1/10/1968,12/10/2014,Regular Air,Minnesota,0.05,4,0.56,-37,14,4,3
Rubber Bands,Prior Lake,Wrap Bag,14,Gwendolyn F Tyson,Small Business,Office Supplies,10447,"OIC Colored Binder Clips, Assorted Sizes",12/8/2015,86838,Medium,55372,Central,1/11/1968,12/9/2015,Regular Air,Minnesota,0.05,4,0.36,-1,14,2,4
Office Furnishings,Prior Lake,Small Box,14,Gwendolyn F Tyson,Small Business,Furniture,10635,Howard Miller 12-3/4 Diameter Accuwave DS ™ Wall Clock,12/8/2015,86838,Medium,55372,Central,1/7/1968,12/9/2015,Regular Air,Minnesota,0.09,16,0.43,803,1164,20,79
Paper,Bettendorf,Wrap Bag,1826,Kate Peck,Corporate,Office Supplies,10539,"Wirebound Message Books, Four 2 3/4"" x 5"" Forms per Page, 600 Sets per Book",7/5/2014,86959,Medium,52722,Central,10/28/1949,7/7/2014,Regular Air,Iowa,0,1,0.38,-8,11,4,9
Computer Peripherals,Corvallis,Small Pack,1267,Rosemary Branch,Corporate,Technology,10796,"Imation 3.5"" DS/HD IBM Formatted Diskettes, 10/Pack",2/1/2016,89515,Not Specified,97330,West,10/26/1959,2/1/2016,Regular Air,Oregon,0.04,11,0.75,-1522,70,4,6
Envelopes,Naugatuck,Small Box,578,Evan K Bullard,Corporate,Office Supplies,10290,Multimedia Mailers,7/15/2015,88644,Medium,6770,East,2/5/1951,7/15/2015,Regular Air,Connecticut,0.03,3,0.39,293,516,20,163
"Scissors, Rulers and Trimmers",Concord,Small Pack,585,William Larson,Corporate,Office Supplies,10750,"Acme Hot Forged Carbon Steel Scissors with Nickel-Plated Handles, 3 7/8"" Cut, 8""L",7/16/2014,88644,Medium,3301,East,2/4/1951,7/16/2014,Regular Air,New Hampshire,0.06,12,0.56,-68,170,8,14
Paper,Deer Park,Wrap Bag,1085,Ted Dunlap,Corporate,Office Supplies,11184,"Snap-A-Way® Black Print Carbonless Ruled Speed Letter, Triplicate",2/2/2016,86124,Not Specified,11729,East,4/4/1963,2/2/2016,Regular Air,New York,0.02,8,0.38,207,299,5,38
Telephones and Communication,Auburn,Small Pack,580,Kathryn Patrick,Corporate,Technology,10987,Accessory6,7/13/2016,88644,Medium,4210,East,2/3/1951,7/13/2016,Regular Air,Maine,0.01,12,0.8,-58,578,5,56
Rubber Bands,Oxford,Wrap Bag,1389,Jean Khan,Small Business,Office Supplies,11223,Staples Metal Binder Clips,1/28/2016,88728,High,1540,East,5/8/1954,1/28/2016,Express Air,Massachusetts,0.08,12,0.39,22,32,1,3
Envelopes,Seymour,Small Box,579,Marlene Abrams,Corporate,Office Supplies,11180,"Peel & Seel® Recycled Catalog Envelopes, Brown",7/15/2015,88644,Medium,6478,East,2/6/1951,7/15/2015,Regular Air,Connecticut,0.01,2,0.35,-7,25,6,12
Computer Peripherals,Deer Park,Small Box,1085,Ted Dunlap,Corporate,Technology,10397,"Fellowes Internet Keyboard, Platinum",2/2/2016,86124,Not Specified,11729,East,4/3/1963,2/2/2016,Regular Air,New York,0.06,10,0.74,-159,309,9,30
Storage & Organization,Summerville,Small Box,2287,Samuel Newman,Corporate,Office Supplies,10822,Desktop 3-Pocket Hot File®,11/4/2015,90147,Low,29483,South,10/16/1966,11/4/2015,Regular Air,South Carolina,0.1,9,0.59,34,470,20,54
Telephones and Communication,Tooele,Small Box,1303,Cindy Harvey,Consumer,Technology,10961,Item 10961,9/30/2015,87005,Low,84074,West,7/16/1956,9/30/2015,Regular Air,Utah,0.01,9,0.57,250,537,5,66
Storage & Organization,Downers Grove,Small Box,1485,Wayne Sutherland,Home Office,Office Supplies,11258,Hanging Personal Folder File,7/21/2015,91236,Not Specified,60516,Central,4/28/1962,7/21/2015,Regular Air,Illinois,0.02,1,0.6,-18,19,11,16
Storage & Organization,Downers Grove,Jumbo Drum,1485,Wayne Sutherland,Home Office,Office Supplies,10112,Tennsco Double-Tier Lockers,7/21/2015,91236,Not Specified,60516,Central,4/29/1962,7/21/2015,Delivery Truck,Illinois,0.05,21,0.72,1429,4637,29,225
Binders and Binder Accessories,Downers Grove,Small Box,1485,Wayne Sutherland,Home Office,Office Supplies,10469,Ibico Covers for Plastic or Wire Binding Elements,7/22/2014,91236,Not Specified,60516,Central,4/27/1962,7/22/2014,Regular Air,Illinois,0.04,14,0.4,-23,158,7,12
Office Machines,Los Angeles,Jumbo Drum,553,Kristine Connolly,Corporate,Technology,10122,Lexmark 4227 Plus Dot Matrix Printer,10/27/2015,2433,Not Specified,90008,West,12/14/1900,11/2/2015,Delivery Truck,California,0.07,25,0.55,4073,43046,15,2036
Office Machines,Pleasant Grove,Jumbo Drum,555,Walter Young,Corporate,Technology,10122,Lexmark 4227 Plus Dot Matrix Printer,7/9/2015,86190,Not Specified,84062,West,3/27/1950,7/9/2015,Delivery Truck,Utah,0.07,6,0.55,6028,10331,15,2036
Chairs & Chairmats,Bozeman,Jumbo Drum,2225,Sean McKenna,Small Business,Furniture,10845,Office Star Flex Back Scooter Chair with Aluminum Finish Frame,10/12/2015,89970,Critical,59715,West,1/6/1966,10/14/2015,Delivery Truck,Montana,0,15,0.61,-42,1608,42,101
